MAHARASHTRA
138. Khed (M Cl) [ MAH, Population: 13813, Class - IV ]
139. Kherdi (CT) [ MAH, Population: 10702, Class - IV ]
140. Khopoli (M Cl) [ MAH, Population: 58664, Class - II ]
141. Khuldabad (M Cl) [ MAH, Population: 12794, Class - IV ]
142. Kinwat (M Cl) [ MAH, Population: 24878, Class - III ]
143. Kodoli (CT) [ MAH, Population: 16416, Class - IV ]
144. Kolhapur UA [ MAH, Population: 505541, Class - I ] 
List of towns: Census of India 2001 Maharashtra– Page 6 of 13
MAHARASHTRA (Continued):
145. Kon (CT) [ MAH, Population: 15159, Class - IV ]
146. Kondumal (CT) [ MAH, Population: 11721, Class - IV ]
147. Kopargaon (M Cl) [ MAH, Population: 59970, Class - II ]
148. Kopharad (CT) [ MAH, Population: 5276, Class - V ]
149. Korochi (CT) [ MAH, Population: 18120, Class - IV ]
150. Kudal (CT) [ MAH, Population: 13642, Class - IV ]
151. Kundalwadi (M Cl) [ MAH, Population: 14334, Class - IV ]
152. Kurduvadi (M Cl) [ MAH, Population: 22777, Class - III ]
153. Kurundvad (M Cl) [ MAH, Population: 21327, Class - III ]
154. Kusgaon Budruk (CT) [ MAH, Population: 8567, Class - V ]
155. Lanja (CT) [ MAH, Population: 12276, Class - IV ]
156. Lasalgaon (CT) [ MAH, Population: 12532, Class - IV ]
157. Latur (M Cl) [ MAH, Population: 299985, Class - I ]
158. Loha (M Cl) [ MAH, Population: 20148, Class - III ]
159. Lonar (M Cl) [ MAH, Population: 20082, Class - III ]
160. Lonavala (M Cl) [ MAH, Population: 55652, Class - II ]
161. Mahabaleshwar (M Cl) [ MAH, Population: 12737, Class - IV ]
162. Mahad (M Cl) [ MAH, Population: 24276, Class - III ]
163. Mahadula (CT) [ MAH, Population: 18252, Class - IV ]
164. Maindargi (M Cl) [ MAH, Population: 12148, Class - IV ]
165. Malegaon (M Cl) [ MAH, Population: 409403, Class - I ]
166. Malkapur (CT) [ MAH, Population: 12487, Class - IV ]
167. Malkapur (M Cl) [ MAH, Population: 61012, Class - II ]
168. Malkapur (M Cl) [ MAH, Population: 5504, Class - V ]
169. Malwan (M Cl) [ MAH, Population: 18680, Class - IV ]
170. Manadur (CT) [ MAH, Population: 3922, Class - VI ]
171. Manchar (CT) [ MAH, Population: 13799, Class - IV ]
172. Mangalvedhe (M Cl) [ MAH, Population: 21706, Class - III ]
173. Mangrulpir (M Cl) [ MAH, Population: 27815, Class - III ] 
List of towns: Census of India 2001 Maharashtra– Page 7 of 13
MAHARASHTRA (Continued):
174. Manjlegaon (M Cl) [ MAH, Population: 44029, Class - III ]
175. Manmad (M Cl) [ MAH, Population: 72401, Class - II ]
176. Manor (CT) [ MAH, Population: 8343, Class - V ]
177. Mansar (CT) [ MAH, Population: 6459, Class - V ]
178. Manwath (M Cl) [ MAH, Population: 29218, Class - III ]
179. Matheran (M Cl) [ MAH, Population: 5139, Class - V ]
180. Mehkar (M Cl) [ MAH, Population: 37715, Class - III ]
181. Mhasla (CT) [ MAH, Population: 8763, Class - V ]
182. Mhaswad (M Cl) [ MAH, Population: 20500, Class - III ]
183. Mohpa (M Cl) [ MAH, Population: 7068, Class - V ]
184. Mohpada Alias Wasambe (CT) [ MAH, Population: 8735, Class - V ]
185. Morshi (M Cl) [ MAH, Population: 33607, Class - III ]
186. Mowad (M Cl) [ MAH, Population: 8737, Class - V ]
187. Mudkhed (M Cl) [ MAH, Population: 18700, Class - IV ]
188. Mukhed (M Cl) [ MAH, Population: 25933, Class - III ]
189. Mul (M Cl) [ MAH, Population: 22330, Class - III ]
190. Murbad (CT) [ MAH, Population: 15821, Class - IV ]
191. Murgud (M Cl) [ MAH, Population: 9204, Class - V ]
192. Murtijapur (M Cl) [ MAH, Population: 38554, Class - III ]
193. Murud (M Cl) [ MAH, Population: 12552, Class - IV ]
194. Murum (M Cl) [ MAH, Population: 17237, Class - IV ]
195. Nachane (CT) [ MAH, Population: 9237, Class - V ]
196. Nagapur (CT) [ MAH, Population: 7064, Class - V ]
197. Nagardeole (CT) [ MAH, Population: 13724, Class - IV ]
198. Nagothana (CT) [ MAH, Population: 10239, Class - IV ]
199. Nagpur UA [ MAH, Population: 2129500, Class - I ]
200. Nakoda (CT) [ MAH, Population: 6002, Class - V ]
201. Nalasopara (M Cl) [ MAH, Population: 184538, Class - I ]
202. Naldurg (M Cl) [ MAH, Population: 15989, Class - IV ] 
List of towns: Census of India 2001 Maharashtra– Page 8 of 13
MAHARASHTRA (Continued):
203. Nanded-Waghala (M Corp.) [ MAH, Population: 430733, Class - I ]
204. Nandgaon (M Cl) [ MAH, Population: 23195, Class - III ]
205. Nandura (M Cl) [ MAH, Population: 37469, Class - III ]
206. Nandurbar (M Cl) [ MAH, Population: 94368, Class - II ]
207. Narkhed (M Cl) [ MAH, Population: 21537, Class - III ]
208. Nashik UA [ MAH, Population: 1152326, Class - I ]
209. Navi Mumbai (Panvel, Raigarh) (CT) [ MAH, Population: 81855, Class - II ]
210. Nawapur (M Cl) [ MAH, Population: 29979, Class - III ]
211. Neral (CT) [ MAH, Population: 14739, Class - IV ]
